text,stance_label,confidence,expected_score_band,expected_toxicity_band,expected_supportive_strength_band
"Sri Lanka win the toss and put Pakistan in to bat. Khawaja, Abrar and Naseem into the side. Saim, Babar and Mirza out.  Remember: Pakistan need to win by 64 runs to qualify for the semi finals #T20WorldCup",CONSTRUCTIVE_CRITICISM,0.3575,"[41.59, 53.59]","[0.0, 0.0813]","[0.0, 0.15]"
"Varun Chakaravarthy has been the most economical bowler of the T20 World Cup 2026 so far, followed by Usman Tariq, Blessing Muzarabani, and Jamie Overton. 

#VarunChakaravarthy #T20WorldCup2026 #T20WC #UsmanTariq https://t.co/zzDiDAQSro",NEUTRAL_ANALYSIS,0.3121,"[30.13, 42.13]","[0.0, 0.0802]","[0.0, 0.15]"
Watch him bang a 25 ball hundred against South Africa in the Super 8’s 🥲,CONSTRUCTIVE_CRITICISM,0.3628,"[38.06, 50.06]","[0.0, 0.0833]","[0.0, 0.15]"
"Well that performance by Seifert and Allen has catapulted New Zealand into the final but it has given KKR a massive selection headache.

They have Green and Narine as locks in their team. With injury concerns for Rana, they need an overseas pacer.

They either have to play just one of them opening and play an overseas pacers or drop one of them to improve their bowling.

What a tough call to make #T20WorldCup2026 #NZvsSA",NEUTRAL_ANALYSIS,0.2805,"[37.28, 49.28]","[0.0, 0.0803]","[0.0, 0.15]"
This Holder really improved his batting man no joke lol .,MIXED_STANCE,0.1403,"[38.03, 50.03]","[0.0, 0.081]","[0.0, 0.15]"
"Pakistan used to have good T20 players, Gul, Amir (back in the day, my favorite player)... Now seeing all these players, they are so bad. Leagues, if they improve scouting, start picking smaller nation players, these won't even get picked in other leagues.",DIRECT_ATTACK,0.2946,"[23.77, 35.77]","[0.0327, 0.1927]","[0.0, 0.15]"
Bennett could've got his ton atleast... A ton in a World Cup against India would've been great... Shouldn't have taken a single first ball.,NEUTRAL_ANALYSIS,0.3207,"[46.84, 58.84]","[0.0, 0.0816]","[0.0, 0.15]"
"𝗥𝗖𝗕’𝘀 𝗔𝘂𝗰𝘁𝗶𝗼𝗻 𝗣𝗹𝗮𝗻𝗻𝗶𝗻𝗴 𝗩𝗶𝗱𝗲𝗼𝘀: 𝘌𝘱𝘪𝘴𝘰𝘥𝘦 1

Getting our priorities in order: Settled squad, not the biggest of purses relatively, and a couple of availability issues. How did the Think Tank plan ahead of time, to nail our auction strategy? Here’s a ticket to our auction engine room, on @bigbasket_com presents RCB Bold Diaries.

#PlayBold #ನಮ್ಮRCB #IPL2026",NEUTRAL_ANALYSIS,0.3098,"[36.81, 48.81]","[0.0, 0.0809]","[0.0, 0.15]"
"Just feel like I need to clear up some common mis facts and mis conceptions about me and my account:

🏢 I don’t work in cricket, I have a full time job outside of cricket
📈 I do cricket stats as a hobby and don’t get paid
☑️ Yes I have gone blue tick for a trial period
❌ No I’m not monetised
😡 I don’t post for rage bait, I’ve always been a mix of stats, serious cricket takes and some piss take posts
🏷️ I haven’t sold my account
🤖 I don’t create my posts with AI, some pictures yes but the worlds are all mine
😛 I have a sharp tongue and will clap back at anyone who replies with insults",NEUTRAL_ANALYSIS,0.412,"[30.11, 42.11]","[0.0, 0.0843]","[0.0, 0.15]"
"Shanaka on his day is mental mental batter man , so so scary batter.",NEUTRAL_ANALYSIS,0.3136,"[25.94, 37.94]","[0.1242, 0.2842]","[0.0, 0.15]"
"As suggested yesterday on this thread, home and away shits really end themselves to international cricket, so why not waste a few hours of my time designing away shirts for all #T20WorldCup2026 teams?",MIXED_STANCE,0.0726,"[26.93, 38.93]","[0.0, 0.1308]","[0.0, 0.15]"
"Bear with me.. there was an issue posting the whole IPL thread so need to see what  I can fix..

It is coming!",NEUTRAL_ANALYSIS,0.328,"[38.54, 50.54]","[0.0, 0.0819]","[0.0, 0.15]"
"So India have set a target of 254 to chase 😱😱

If England are to do this then they would have to smash rhe highest chase ever in #t20wordcup

Who holds that record? 
Its held by England.. who chased 231.. at Wankhede 

Could they??

#INDvsENG #T20WC2026",NEUTRAL_ANALYSIS,0.3289,"[69.0, 81.0]","[0.0, 0.0808]","[0.0, 0.15]"
Surya played his last T20I?,SUPPORTIVE_DEFENSE,0.3102,"[69.0, 81.0]","[0.0, 0.0812]","[0.0, 0.15]"
"At this point, Sanju Samson is definitely getting a statue in Kerala. Those people are crazy, they'll definitely do it 🤣",NEUTRAL_ANALYSIS,0.3164,"[27.37, 39.37]","[0.0, 0.1238]","[0.0, 0.15]"
"Not surprised by SL's performance, the team is just bad... it's that One crazy knock from Nissanka made them relevant this T20 World Cup",NEUTRAL_ANALYSIS,0.3125,"[40.94, 52.94]","[0.0, 0.0806]","[0.0, 0.15]"
Sam Billings would swap his IPL title for a County Championship! 🏆 https://t.co/8qZO572JDs,NEUTRAL_ANALYSIS,0.3152,"[28.54, 40.54]","[0.0, 0.0803]","[0.0, 0.15]"
"RCB valued at 269.
Kohli’s Test jersey 269.
There is something poetic when the universe lines up in a way that feels bigger than numbers.
From a debut cap to defining a franchise’s identity, that number quietly connects the journey.
#RCB #Kohli https://t.co/rmXrOWUT4R",SUPPORTIVE_DEFENSE,0.3124,"[38.9, 50.9]","[0.0, 0.0801]","[0.0, 0.15]"
"Wow no Mcconchie... With the number of left handers India have, thought they would bring in Duffy for Neesham... Mcconchie is a better batter too.",CONSTRUCTIVE_CRITICISM,0.3984,"[36.38, 48.38]","[0.0, 0.0833]","[0.0, 0.15]"
Why are RCB behaving like bcci to release the tickets in the last moment.... 5 days left for the game and we have no idea when it is going to be released.,NEUTRAL_ANALYSIS,0.3214,"[36.76, 48.76]","[0.0, 0.0806]","[0.0, 0.15]"
Two Bumrah over is the hope for us,NEUTRAL_ANALYSIS,0.3278,"[69.0, 81.0]","[0.0, 0.0826]","[0.0, 0.15]"
"Yesterday, RCB Women hit at least one boundary every over. This should be some record in WPL, I guess. Has any Women team ever done it before WPL or T20i?",NEUTRAL_ANALYSIS,0.3645,"[41.59, 53.59]","[0.0, 0.0802]","[0.0, 0.15]"
"That’s 3 in row! #T20WorldCup #abhishek 

Cruel game this sometimes. Chin up lad☺️",NEUTRAL_ANALYSIS,0.3394,"[35.69, 47.69]","[0.0, 0.085]","[0.0, 0.15]"
"So easy for Bumrah, master at work.",NEUTRAL_ANALYSIS,0.3396,"[36.22, 48.22]","[0.0, 0.0816]","[0.0, 0.15]"
May be Washington Sundar’s role today is a batsmen who can bowl considering dube bowling more than him. Will be interesting to see what number he bats today.,MIXED_STANCE,0.0935,"[40.21, 52.21]","[0.0, 0.0804]","[0.0, 0.15]"
Mitchell at no6 at least now will be thought seriously by NZL that it’s a wrong move.,NEUTRAL_ANALYSIS,0.2967,"[34.5, 46.5]","[0.0, 0.0802]","[0.0, 0.15]"
"Padikkal adikkala. Idikkaraan! 🚪 

147, 124, 22, 113, 108. 4 hundreds in 5 games in the Hazare this season.

Overall List A numbers: 2585 runs at 83.38, with 13 hundreds in just 38 innings.

Absolutely mind boggling. 

An ODI call up soon? https://t.co/L5zpmr9ysE",NEUTRAL_ANALYSIS,0.3679,"[31.36, 43.36]","[0.0, 0.0816]","[0.0, 0.15]"
"Just another vital innings from Dube..
 He keeps doing this in T20Is.",CONSTRUCTIVE_CRITICISM,0.3355,"[36.07, 48.07]","[0.0, 0.0805]","[0.0, 0.15]"
"These ESPN likely line ups make me laugh.. so many where its playerA/playerB. 

The whole point of predicting a playing 12 is to.. well predict a playing 12 not have 3 positions with multiple possibilities. 

Put your neck on the line and name a 12.",NEUTRAL_ANALYSIS,0.3028,"[32.04, 44.04]","[0.0, 0.0905]","[0.0, 0.15]"
Varun has been struggling recently but he will be up against his favourite opponent England in the semis.,MIXED_STANCE,0.2263,"[34.25, 46.25]","[0.0, 0.0804]","[0.0, 0.15]"
"Nepal have shown enough to get some bilaterals with full member teams.

Their players deserve a lot more in terms of exposure and Guidance.

Deep Airee has already shown that he is a quick learner. 👏👏#T20WorldCup",NEUTRAL_ANALYSIS,0.2993,"[35.38, 47.38]","[0.0, 0.1177]","[0.0, 0.15]"
"18 years ago today, a young Delhi batter named Virat Kohli was signed by RCB.

Who knew that the fearless U-19 World Cup captain would grow into the heartbeat of the franchise a leader, a run machine, and a rare symbol of loyalty in modern cricket. ❤️

From a raw teenager to the King of Bengaluru 👑

18 years of Virat Kohli & RCB and the story still isn’t finished.

#RCB #ViratKohli #18YearsOfKohli #PlayBold",NEUTRAL_ANALYSIS,0.3321,"[31.96, 43.96]","[0.0, 0.0804]","[0.0, 0.15]"
"As the former DC skipper, Meg Lanning does know a thing or two about those ""direct tickets"" to the final.

DC in the last three editions: Table toppers, finished as runners-up.

RCB are the table toppers in 2026. What about the final? 🤔

#WPL2026 #RCB #UPW #DC https://t.co/HjqkR8unKf",NEUTRAL_ANALYSIS,0.3223,"[35.16, 47.16]","[0.0, 0.0803]","[0.0, 0.15]"
"“Most teams have great players
Some teams have prodigies
But only one team has the king and the king is back in his kingdom”

Can we just start this season already please🔥🔥",NEUTRAL_ANALYSIS,0.2949,"[69.0, 81.0]","[0.0, 0.0803]","[0.0, 0.15]"
"Dy Patil as of now, RCB players and Teams List

Krunal Pandya - Dy Patil Red
Suyash Sharma - Dy Patil Red
Venkatesh Iyer - Income Tax
Jitesh Sharma - Dy Patil Blue
Abhinandan - Mumbai Customs
Bhuvneshwar Kumar - Dy Patil Red

I will update the list if I find others.",NEUTRAL_ANALYSIS,0.3265,"[38.61, 50.61]","[0.0, 0.0803]","[0.0, 0.15]"
Me waiting for #RCB to post the Virat homecoming video https://t.co/58eHJcjdHz,NEUTRAL_ANALYSIS,0.3376,"[29.54, 41.54]","[0.0, 0.0804]","[0.0, 0.15]"
"I have seen Buttler play badly, but this is easily the worst innings I have seen him play.",NEUTRAL_ANALYSIS,0.3416,"[41.83, 53.83]","[0.0, 0.0871]","[0.0, 0.15]"
Going live with Thambi @ashwinravi99 to celebrate India’s semi finals entry in grand style. Are you ready ? Reply with #singpdogg https://t.co/wE54f2I5o7,MIXED_STANCE,0.0726,"[69.0, 81.0]","[0.0, 0.0803]","[0.0, 0.15]"
"Firstly, big love to the 👑 for using his playform to support womens equality💜

Secondly, I do see the potential conflict here when an RCB player is under active police investigation for alleged sexual exploitation, physical violence and mental harassment against a woman.

However Virat is speaking up personally here and not via the RCB club platform. The franchise are the ones that need to be held to account here.

And before the innocent til proven guilty gang rid in here, I have put two key words in bold to make comprehension easy for you.",NEUTRAL_ANALYSIS,0.2991,"[36.47, 48.47]","[0.0, 0.0845]","[0.0, 0.15]"
"Will Jacks every time he has to come in and do a rescue job for England

#T20WorldCup https://t.co/vhUDu5pQBd",NEUTRAL_ANALYSIS,0.3178,"[31.52, 43.52]","[0.0, 0.0803]","[0.0, 0.15]"
India end up with 175. They will defend this. This is a tough pitch to bat and spinners will be diffuclt to score against in the second inns. Not even in a wildest imagination one would chose Shaheen to bowl the last over. Pak needs to be 61/2 after power play to stay ahead of this chase. Babar Azam will be key in the middle overs.,CONSTRUCTIVE_CRITICISM,0.4213,"[69.0, 81.0]","[0.0, 0.081]","[0.0, 0.15]"
"Never expected WI will beat England, that too defending in Wankhede next level. England fellows lost vs Nepal, they would be out of the tournament by now.",NEUTRAL_ANALYSIS,0.3585,"[32.36, 44.36]","[0.0, 0.0811]","[0.0, 0.15]"
Thambi @ashwinravi99 bayanda madiri oru sambavam nadanduduchu. Naalai sandhippom.,NEUTRAL_ANALYSIS,0.3215,"[26.58, 38.58]","[0.0, 0.0858]","[0.0, 0.15]"
"Rutherford is unlocked man scary, scary batter.",NEUTRAL_ANALYSIS,0.3861,"[27.76, 39.76]","[0.0, 0.0804]","[0.0, 0.15]"
Tilak Varma got gears. He can take on the bowling with his power hitting skills. Hopefully the doubts over his hitting abilities will calm down a bit now.,CONSTRUCTIVE_CRITICISM,0.4224,"[40.25, 52.25]","[0.0, 0.0802]","[0.0, 0.15]"
"Wait for it.... 😂

Steve Smith finally tells us what THAT hand signal means! https://t.co/X37ijgZtaD",NEUTRAL_ANALYSIS,0.3263,"[33.86, 45.86]","[0.0, 0.0803]","[0.0, 0.15]"
"🚨 JUST IN 🚨

Yash Dayal will not join the RCB squad this season, Mo Bobat confirms.

""He's going through a personal situation. He remains under contract""

#IPL2026 #RCB https://t.co/7SR70NodLD",NEUTRAL_ANALYSIS,0.3201,"[30.44, 42.44]","[0.0, 0.0803]","[0.0, 0.15]"
"To have someone in the running for #T20WorldCup player of the tournament who will have only played 44% (4 out of 9) of their teams games is just insane.

India doing India things",DIRECT_ATTACK,0.304,"[18.45, 30.45]","[0.0, 0.0807]","[0.0, 0.15]"
"Ngidi looks like his old self, DC should start him over Starc if they are clever.",MIXED_STANCE,0.2714,"[44.86, 56.86]","[0.0329, 0.1929]","[0.0, 0.15]"
"With so many injury replacements and changes happening, I have updated the visuals from this subjective view of each team, their playing 12, squad depth, strengths and weaknesses for #IPL",CONSTRUCTIVE_CRITICISM,0.3987,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
WI bowling is just so bad... Zero threat.,NEUTRAL_ANALYSIS,0.337,"[32.65, 44.65]","[0.0, 0.0855]","[0.0, 0.15]"
"If Mangesh or Rashik can click (bowling) RCB will minimum reach play offs,  can defend title. So much potential both adds.RCB's batting will get even stronger, more freedom for batters. But Mangesh is too raw and Rashik's SMAT was good after that no idea, let's see.",CONSTRUCTIVE_CRITICISM,0.4045,"[44.45, 56.45]","[0.0, 0.0808]","[0.0, 0.15]"
RCB 2011-14 when Gayle got out,NEUTRAL_ANALYSIS,0.3589,"[34.09, 46.09]","[0.0, 0.0854]","[0.0, 0.15]"
"PAK have to go all guns blazing from ball one particularly if they bat first and they certainly have the team to achieve what looks a difficult task. My playing XI in batting order considering Theekshana bowling in power play 

1 Farhan 
2 Usman Khan 
3 Saim Ayub 
4 Fakhar Zaman 
5 Salman Agha 
6 Shadab 
7 Nawaz 
8 Faheem Ashraf 
9 Shaheen Afridi 
10 Abrar Ahmed 
11 Usman Tariq

Thoughts ?",CONSTRUCTIVE_CRITICISM,0.3221,"[33.13, 45.13]","[0.0, 0.0813]","[0.0, 0.15]"
"People again underestimated GT's side, they looked weak but that batting is good enough for flat pitches and that bowling is so much better than many teams so they calmly again will do the business, top of it Nehra's Juju.",NEUTRAL_ANALYSIS,0.4251,"[31.49, 43.49]","[0.0, 0.0803]","[0.0, 0.15]"
"Convincing win for Nepal. Excellent batting under pressure from Dipendra. Players have made their passionate cricket fans happy with this win. Shout out to Scotland. They came into the tournament as a last minute replacement. Pushed WI , pushed England , beat Italy and lost a close game today to finish third in the table.",NEUTRAL_ANALYSIS,0.4294,"[40.58, 52.58]","[0.0, 0.0803]","[0.0, 0.15]"
Didn't expect Abhishek to get cooked by offspinners this badly in the World Cup... Man had no problem against any type of spin....,CONSTRUCTIVE_CRITICISM,0.3349,"[33.69, 45.69]","[0.0, 0.0803]","[0.0, 0.15]"
"𝘛𝘦𝘭𝘭 𝘵𝘩𝘦 𝘸𝘰𝘳𝘭𝘥, 𝘸𝘦’𝘳𝘦 𝘤𝘰𝘮𝘪𝘯𝘨 𝘩𝘰𝘮𝘦 🥹🏡❤️

#PlayBold #ನಮ್ಮRCB #IPL2026 https://t.co/bdY0DloNaT",NEUTRAL_ANALYSIS,0.3335,"[28.35, 40.35]","[0.0, 0.0846]","[0.0, 0.15]"
"Who the hell is that as it’s sure not Josh Inglis.

Maybe LSG are hoping that AI Josh can play the #IPL2026 games that real Josh can’t https://t.co/xLfIgqE7jX",NEUTRAL_ANALYSIS,0.3146,"[37.16, 49.16]","[0.0, 0.13]","[0.0, 0.15]"
"Ishan Kishan, Abhishek and Samson's next two matches are so important for their careers, because anyone of them can be replaced by Vaibhav. Dy Patil he is cooking need decent IPL pakka Indian cap is coming for him.",MIXED_STANCE,0.2191,"[37.26, 49.26]","[0.033, 0.193]","[0.0, 0.15]"
"Is it me, or anyone felt when Bethell runs for his first single, it feel like he is the quickest batter. Like 4 or 5 steps, he  almost covers other end.",NEUTRAL_ANALYSIS,0.3385,"[33.63, 45.63]","[0.0329, 0.1929]","[0.0, 0.15]"
"This guy deserves credit (Rx Muralidhar) when he got named as RCB Women batting coach. Karnataka's friends here told me he is one of the best coach from the state. Now, he won two-time WPL as coach and seen RCB Women were praising him. https://t.co/WKeVQFuIAg",NEUTRAL_ANALYSIS,0.2975,"[36.47, 48.47]","[0.0327, 0.1927]","[0.0, 0.15]"
Want England to actually beat NZ by some 30-40 runs but later Pak should lose to SL... That'll be so funny 🤣,CONSTRUCTIVE_CRITICISM,0.3118,"[36.61, 48.61]","[0.0, 0.0869]","[0.0, 0.15]"
"Congratulations india on a convincing win to become the first team in the history to defend T20 WC and also the first team to win T20 WC thrice. Shout out to Gambhir , his coaching and support staff , captain and all the players involved. India will dominate every single ICC tournament in white ball in the next 5 years. Hard luck to NZL.",MIXED_STANCE,0.0691,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
"One thing in the first innings of T20, you are the fielding captain, you are unable to break the partnership all match up getting hit. Fielding captain should bowl your best bowler no point saving him till slog overs.",CONSTRUCTIVE_CRITICISM,0.3976,"[27.78, 39.78]","[0.0349, 0.1949]","[0.0, 0.15]"
"Blessing Muzarabani wanted him so badly in RCB, thought we would get him back, but we got Duffy happy for him. But I don't know how other teams are so dumb not to bid for Blessing even in the base price.",MIXED_STANCE,0.2937,"[69.0, 81.0]","[0.0, 0.0885]","[0.0, 0.15]"
"Will Jacks before his blonde hair in T20i:

Avg : 20.56
SR: 145.6

Will Jacks since his blonde hair:

Avg : 65.5
SR : 195.52
Man of match awards : 3/5

Dont ever go back to your real hair colour https://t.co/2TwNDlvZrs",NEUTRAL_ANALYSIS,0.3405,"[39.02, 51.02]","[0.0, 0.0863]","[0.0, 0.15]"
"With all due respect to Romario's current bowling form, still can't trust him to bowl 4 overs, so must include genuine third pacer otherwise bowling will be too thin, especially if spinners have an off day then have to bowl Venky, who is at best a Dube type bowler. https://t.co/LaTDAfgeEb",CONSTRUCTIVE_CRITICISM,0.4239,"[62.0, 74.0]","[0.0, 0.0803]","[0.0, 0.15]"
"Okay, let me make it as clear as possible. Firstly, the legalities of his action can only be tested at an ICC bowling action testing Centre.

Secondly, there is a 15° rule under which a bowler needs to keep his elbow and straighten it  and to judge if a bowler is bowling within that 15° mark by the onfield Umpire is impossible.

The only solution to that is having a real time in competition testing tool.

The above is a grey area and to accuse someone for utilising the grey area is wrong.

Finally, if the pause at the crease is legal or not, and that’s where I believe that it is entirely legal because that is his regular action. #UsmanTariq",NEUTRAL_ANALYSIS,0.3223,"[74.0, 86.0]","[0.0, 0.0802]","[0.0, 0.15]"
"Two phone calls, lasting a minute each. 

Liam Livingstone says that is the sum total of his contact with England's management since his most recent international appearance 12 months ago.

Interview @ESPNcricinfo

https://t.co/tx5jT9ohyK",NEUTRAL_ANALYSIS,0.3197,"[26.94, 38.94]","[0.0, 0.0803]","[0.0, 0.15]"
"T 20 is a sport that is consistently evolving and can leave the best of players behind, if they fail to adapt or recognise the curve they may have to navigate.

We are used to consuming cricket through the volume of runs scored and wickets taken by batters and bowlers respectively, but trends are starting to clearly deviate wrto T 20.

This is from the recently concluded #WPL2026 , the team with the highest collective strike and best economy rate won.

Keep it simple.",NEUTRAL_ANALYSIS,0.3432,"[35.6, 47.6]","[0.0, 0.0802]","[0.0, 0.15]"
"Abhishek Sharma so far this #T20WorldCup 

Innings : 3
Runs : 0
Avg : 0
SR: 0

Sanju Samson

Innings : 1
Runs : 22
Avg : 22
SR: 275 - highest of any batter so far
Boundary % - 100%

Surely the time is now? #INDvNED 
Surely India can not keep on batting with just 10 players",NEUTRAL_ANALYSIS,0.3687,"[32.32, 44.32]","[0.0, 0.0806]","[0.0, 0.15]"
Superb bowling in power play from Madhushanka with out any rewards.,NEUTRAL_ANALYSIS,0.381,"[36.92, 48.92]","[0.0, 0.0802]","[0.0, 0.15]"
"Thank you @NatalieGermanos for telling Ravi about this tweet!
@RaviShastriOfc knows I exist, thats the moment for me https://t.co/7pDT4XdmiJ",NEUTRAL_ANALYSIS,0.3364,"[69.0, 81.0]","[0.0, 0.0803]","[0.0, 0.15]"
"Hardik's main aim during a match is Aura farming.... And he delivers such special performances too, so no one can troll him either 🤣",MIXED_STANCE,0.0612,"[36.83, 48.83]","[0.0, 0.0803]","[0.0, 0.15]"
"Credit where credit is due, that was a hell of a knock by Harry Brook 👏👏

He certainly likes playing Pakistan

Avg 62.7
Strike rate 159

Can we play you every week??

#ENGvPAK #T20WorldCup2026",NEUTRAL_ANALYSIS,0.339,"[33.06, 45.06]","[0.0, 0.0809]","[0.0, 0.15]"
"Happy #IPL start month to all those that celebrate 🏏

Those that hate it, yeah sorry about that 🤣",NEUTRAL_ANALYSIS,0.3264,"[35.98, 47.98]","[0.0, 0.0815]","[0.0, 0.15]"
"Scouting is a frequently used term in modern day cricket and most franchisees recruit several scouts in order to ensure they don’t miss out on match winners like Bumrah and Hardik.

Having mentioned two wonderful picks from the MI stables, it’s important to place RR right up there in the top 2.

Yet again RR have struck gold through Aman Rao, he just went ahead smashed a double hundred in the VHT against Bengal.

Note : Bengal’s bowling attack comprised of Shami, Akash Deep and Shahbaz ( all have intl experience )

What stood out with Aman was that his innings wasn’t in one tempo, which you often see with modern day batters.

His first 100 came from 108 balls, after which he went on beast mode.
He got his next 100 in just 46 deliveries and some of those hits were monstrous, which illustrated his power hitting prowess.

The shot of the day was when he picked a slower delivery from Shami and timed it smoothly over extra cover for a six.

Most importantly, when he is batting you can almost forget all numbers & nuances and just watch him bat because it’s so easy on the eye.

Can’t wait to watch how Aman  progresses from here on🤩",NEUTRAL_ANALYSIS,0.333,"[36.73, 48.73]","[0.0, 0.093]","[0.0, 0.15]"
"2022 T20 WC semis - ENG v IND
2024 T20 WC semis - ENG v IND
2026 T20 WC semis - ENG v IND

The winner has gone on to win the Title",NEUTRAL_ANALYSIS,0.3201,"[38.0, 50.0]","[0.0, 0.0805]","[0.0, 0.15]"
"If Winning a WC is difficult, then defending it is even more difficult. Gambhir and his coaching staff came to this World Cup with high expectations and they delivered. Kudos to them.",NEUTRAL_ANALYSIS,0.2982,"[62.0, 74.0]","[0.0, 0.0802]","[0.0, 0.15]"
So it's Dube bowling the last over. No other option... Bumrah you've a big job to do 😭,CONSTRUCTIVE_CRITICISM,0.3431,"[37.41, 49.41]","[0.0, 0.0884]","[0.0, 0.15]"
"IPL is back. And for the next 2 months - Indian men will:

- Sleep at 12 AM every night because “match chal raha hai”
- Order Swiggy during every timeout
- Skip the gym because “aaj match hai”
- Open a beer at 8 PM on a Tuesday like it’s Saturday
- Analyse Virat Kohli’s diet, recovery, and fitness routine while eating butter chicken on the couch at midnight

Same cycle. Every year. Nobody talks about it because cricket is religion.

But here’s what 2 months of this actually does:

1. Your sleep collapses.
Sleeping at 1 AM for 60 days straight resets your body clock. Cortisol goes up. Testosterone drops. Fat storage increases. You’ll feel the damage in June and blame “garmi” for your low energy.

2. Your eating gets worse without you noticing.
You’re not ordering Swiggy because you’re hungry. You’re ordering because the match is on and it “feels right.” 60 nights of this is 60 extra meals your body didn’t ask for.

3. Your gym streak dies.
“I’ll go tomorrow.” Tomorrow has another match. 2 months later you’ve lost whatever consistency you built. Starting over in June feels impossible so you push it to July. Then August. Then “next year.”

4. You worship athletes who treat their body like a machine. Then treat yours like a dustbin.
Kohli has a ₹2 crore fitness team. You won’t skip a match for him but you’ll skip the gym because of him.

I’m not asking you to stop watching cricket. Watch every match.

• Pre-decide what you’re eating before the match starts. Not during a timeout at 10 PM. On-the-spot decisions are always the worst ones.
• Eat your protein first. Before the match. It fills you up. You snack less, order less, and don’t end up eating two dinners by midnight.
• Let this post be your sign. You’ve done this every IPL season. Every June you’ve regretted it. Same 5 kgs. Same guilt. Same restart. This year - don’t let 2 months undo what you’ve been building.",NEUTRAL_ANALYSIS,0.3107,"[40.7, 52.7]","[0.0, 0.0931]","[0.0, 0.15]"
No arguments the best opening pace bowling combination in this T20 WC is Arshdeep and Bumrah. There is no competition to that.,CONSTRUCTIVE_CRITICISM,0.4089,"[31.37, 43.37]","[0.0, 0.0802]","[0.0, 0.15]"
"Alyssa Healy had to score 35 runs more than the balls faced to get her career SR to 100 and she goes on to score 158(98).... Finished with 100.7 Career ODI SR. Crazy considering most batters in WODIs have 75-85 SR. What a legend, finishing the career with such a knock.",NEUTRAL_ANALYSIS,0.3739,"[36.49, 48.49]","[0.0, 0.0876]","[0.0, 0.15]"
Coach NRR is no more a factor now. Thanks.,DIRECT_ATTACK,0.3387,"[29.53, 41.53]","[0.0, 0.0802]","[0.0, 0.15]"
"Ben Duckett pulling out of #IPL might have done DC a favour. Their batting line up was top heavy with KL, Shaw, Nissanka, Porel and Duckett as opening options along with Rana and Nair at 3.

If I was them I would target a spin bowling all rounder who can bat in the middle order as a replacement.",CONSTRUCTIVE_CRITICISM,0.3788,"[54.0, 66.0]","[0.0, 0.081]","[0.0, 0.15]"
"Says the man who :

As captain, missed the first 6-8 weeks of the Kent season to play for KKR in 2022

As captain, missed the first 
Month of the Kent season to play for CSK in 2018

I’m all for the sentiment and meaning behind the statement he has made, but lets not forget you chose the IPL 💰💰over your county commitments more than once.",NEUTRAL_ANALYSIS,0.2999,"[35.03, 47.03]","[0.0, 0.0802]","[0.0, 0.15]"
"Every bowler also had a good day according to what they said, then who conceded 230 and 245 bruh",NEUTRAL_ANALYSIS,0.481,"[46.97, 58.97]","[0.0, 0.0802]","[0.0, 0.15]"
Only time seamers are productive in Ahmedabad is power play. Huge surprise to see maharaj opening the bowling and he is the only specialist spinner in the team.,CONSTRUCTIVE_CRITICISM,0.337,"[35.43, 47.43]","[0.0327, 0.1927]","[0.0, 0.15]"
"ECB confirms that Ben Stokes, Brendon McCullum and Rob Key will remain in England roles 🚨🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/LmK8NET9CF",MIXED_STANCE,0.0688,"[34.76, 46.76]","[0.0, 0.0802]","[0.0, 0.15]"
"So I have been championing Samson playing for India.

Today as an England fan I am hugely regretting this #T20WorldCup2026  #INDvENG",NEUTRAL_ANALYSIS,0.2983,"[69.0, 81.0]","[0.0, 0.0803]","[0.0, 0.15]"
@ErikaMorris79 @FPL_A_Knight Did you even watch KKR match or just tweeting for brownie points,NEUTRAL_ANALYSIS,0.332,"[33.13, 45.13]","[0.0, 0.0814]","[0.0, 0.15]"
Shanaka ensured he will be leading SL in 2028 World Cup as well. His yearly good knock has come at the right time to save his place lmao.,MIXED_STANCE,0.1599,"[39.47, 51.47]","[0.0, 0.0803]","[0.0, 0.15]"
"I’ve called for this for the last few years, but surely if ever there was a time then it’s now.

All franchise leagues, especially #IPL, should allow an extra overseas player if they are an associate team.

World cricket needs the associate teams to get stronger and this would be a good first step.  #T20WorldCup",NEUTRAL_ANALYSIS,0.2934,"[69.0, 81.0]","[0.0, 0.1176]","[0.0, 0.15]"
"Home T20 World Cup, Super 8, every match is so important. 3 wickets down for India, a team worth billions, billion people watching them. They send Sundar at 5, how to take this team seriously? They dropped Axar for Sundar.",NEUTRAL_ANALYSIS,0.2986,"[69.0, 81.0]","[0.0, 0.0803]","[0.0, 0.15]"
This is such a fantastic comeback from SA after being 20/3. To get to almost 10 RR after that first 5 overs is top batting.,CONSTRUCTIVE_CRITICISM,0.4006,"[39.34, 51.34]","[0.0, 0.0807]","[0.0, 0.15]"
Thank you sir. Easily the biggest compliment i can get in my life seeing this cute video. Entertainment will continue in full swing during IPL with @ashwinravi99,NEUTRAL_ANALYSIS,0.3379,"[69.0, 81.0]","[0.0, 0.0801]","[0.0, 0.15]"
